id,xcenter,ycenter,aperture_sum_0,aperture_sum_1,aperture_sum_2,aperture_sum_3,aperture_sum_4,aperture_sum_5,aperture_sum_6,aperture_sum_7
1,89.9271476873702 pix,35.45472602053929 pix,515788.6168010442,710430.8457800345,851773.49660442,1015935.4533776592,1114329.1526176187,1162732.8893800145,1184307.7748192383,1191161.5160188358
2,1063.171983833627 pix,70.73809524781184 pix,23482.907571984582,34206.02547965506,43090.88453616576,56124.41261185867,65132.738246712535,70887.2815519632,73960.16697438563,75059.6953054732
3,1286.0301833756835 pix,169.83995097024723 pix,25833.223353083475,39973.602801518435,53482.586583122815,77534.76920704391,107845.53285166482,138529.88293195423,156942.29626792655,165801.64532664436
4,1926.748138808891 pix,183.5099288945645 pix,50481.02209273277,68964.3803322865,82571.63918477893,98093.15227048848,106678.46864644496,111163.17493885051,111323.70336333563,110692.30577569589
5,2021.0810343209532 pix,183.6729459167016 pix,21270.030192867744,32154.71005836014,42060.99925250557,58330.33823988415,74961.18958359108,95221.90480435462,131186.27752684342,171899.18527628036
6,626.1901359794105 pix,202.59768922445235 pix,39946.16345283753,54594.90986709211,65131.31934061993,80052.15640765047,100832.44825320292,116629.26035088184,121657.71316610524,121882.09579805327
7,617.619481098706 pix,203.90686699441122 pix,16151.992385399122,22442.773984834854,28125.054674359075,43722.49041861723,86030.22840110402,115502.28990576204,120473.88663197638,122123.79844027276
8,1404.226865176612 pix,234.50994550974997 pix,16928.985306912906,22897.101662240097,27147.115128177342,31212.9337829934,33721.415315237,35007.65463093724,40846.123407130304,79239.44642557955
9,1382.5852203209995 pix,253.22107821191082 pix,18727.365873595758,25858.70456766834,30968.04823088675,36556.264451571245,40117.69871325691,43127.011998405855,53921.0675692372,93533.44244719017
10,423.9980718183372 pix,345.6386000958599 pix,61745.31156835194,84212.8756161663,99981.00777798776,118086.51385418681,127791.14567045518,132715.85363629385,132059.89469789216,128055.14989402908
11,1006.4543822178464 pix,347.6824375374689 pix,66166.94952696777,90472.67961532909,108027.62325018212,128159.51407654144,139273.04850633687,145679.28861966712,152304.44458232357,178977.50125300392
12,1524.1357836372079 pix,373.9338826280236 pix,97125.54015172724,132489.29079750882,157496.84682590037,185634.7170088528,201509.44115588669,209377.18237572943,211806.39333360034,218231.32030383742
13,1730.7017910039854 pix,397.1888175055277 pix,33935.56576435697,47195.84937180672,57130.954759776505,68068.86090357859,75385.27490441933,79214.10044870236,83395.2170210357,84013.48986186691
14,1869.52841523824 pix,471.6688813928892 pix,9726.020119140141,13355.909174223742,16092.87696112111,19073.10346620385,20388.783582125907,20178.46757124931,18949.47104191198,15900.597972363481
15,1635.1811774467856 pix,503.4011356566764 pix,37218.064155416694,50417.10437884879,59952.739020992936,72737.74191960896,93283.58396408093,117336.9496000855,121361.4164478292,124229.81350372841
16,1643.1218353825516 pix,509.02968817247614 pix,20630.601758259516,28305.912899300605,34524.89778393718,46351.240147117715,79876.71666848788,115773.96667824284,121800.61039493502,123649.39340305203
17,708.9453375783193 pix,615.4707764616377 pix,32476.80080031934,44518.26822445025,52827.76928713208,61979.910445258916,67202.48810224558,69979.48662244924,70534.76673054686,78916.55669742462
18,1684.5404178767408 pix,618.4681967222344 pix,8950.86821942504,10556.849825958525,12238.29375578133,16059.055228589641,25951.10127044151,54100.70851363292,122342.33821438311,155605.87766411775
19,1551.0386986316194 pix,660.4808829976643 pix,14803.67029545308,20141.99991406918,24044.90926199204,29069.38310758296,32338.035059010537,33539.145574021386,36046.9040984944,37396.04136636984
